last_name,first_name,id,session,party_name,party_id,gender,birth,death,fylke_name,fylke_id,version,party_version,fylke_version
Stråtveit,Anne Brit,ABS,1997-2001,Kristelig Folkeparti,KrF,kvinne,1947-04-22T00:00:00,0001-01-01T00:00:00,Vest-Agder,VA,1.3,1.3,1.3
Dørum,Anneliese,AD,1997-2001,Arbeiderpartiet,A,kvinne,1939-10-03T00:00:00,2000-11-04T00:00:00,Akershus,Ak,1.3,1.3,1.3
Duesund,Åse Gunhild Woie,ADV,1997-2001,Kristelig Folkeparti,KrF,kvinne,1944-04-18T00:00:00,0001-01-01T00:00:00,Aust-Agder,AA,1.3,1.3,1.3
Enger,Anne,AEL,1997-2001,Senterpartiet,Sp,kvinne,1949-12-09T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Gabrielsen,Ansgar,AG,1997-2001,Høyre,H,mann,1955-05-21T00:00:00,0001-01-01T00:00:00,Vest-Agder,VA,1.3,1.3,1.3
Valle,Ågot,AGV,1997-2001,Sosialistisk Venstreparti,SV,kvinne,1945-05-26T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Lyngstad,Arne,AL,1997-2001,Kristelig Folkeparti,KrF,mann,1962-05-10T00:00:00,0001-01-01T00:00:00,Nord-Trøndelag,NT,1.3,1.3,1.3
Nistad,Astrid Marie,AMN,1997-2001,Arbeiderpartiet,A,kvinne,1938-12-09T00:00:00,0001-01-01T00:00:00,Sogn og Fjordane,SF,1.3,1.3,1.3
Høegh,Annelise,ANH,1997-2001,Høyre,H,kvinne,1948-07-26T00:00:00,2015-03-27T00:00:00,Oslo,Os,1.3,1.3,1.3
Næss,Are,ARN,1997-2001,Kristelig Folkeparti,KrF,mann,1942-11-14T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Kristoffersen,Asmund,ASK,1997-2001,Arbeiderpartiet,A,mann,1944-11-05T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Tømmerås,Ane Sofie,AST,1997-2001,Arbeiderpartiet,A,kvinne,1966-02-18T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Blattmann,Aud,AUB,1997-2001,Arbeiderpartiet,A,kvinne,1937-09-26T00:00:00,0001-01-01T00:00:00,Vest-Agder,VA,1.3,1.3,1.3
Gaundal,Aud,AUG,1997-2001,Arbeiderpartiet,A,kvinne,1949-11-10T00:00:00,0001-01-01T00:00:00,Nord-Trøndelag,NT,1.3,1.3,1.3
